COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
Dayananda Sagar College of Engineering,AI Artificial Intelligence,2AG,0,0,0,0,1123,695
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GM,0,0,6480,593,672,684
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCG,0,0,0,0,1866,1640
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GMR,0,0,0,1408,0,1124
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCR,0,0,0,0,0,0
Dayananda Sagar College of Engineering,AI Artificial Intelligence,STG,0,0,0,5358,0,0
Dayananda Sagar College of Engineering,CE Civil,2AG,2833,4802,10060,2546,13571,2403
Dayananda Sagar College of Engineering,CE Civil,GM,2331,4232,5403,1926,5289,1531
Dayananda Sagar College of Engineering,CE Civil,SCG,2881,4784,7730,1966,5700,2916
Dayananda Sagar College of Engineering,CE Civil,GMR,2549,4510,8599,2706,3268,1800
Dayananda Sagar College of Engineering,CE Civil,SCR,0,0,9203,0,13579,3524
Dayananda Sagar College of Engineering,CE Civil,STG,0,0,6584,0,10565,4147
Dayananda Sagar College of Engineering,CS Computers,2AG,1649,1326,959,485,492,484
Dayananda Sagar College of Engineering,CS Computers,GM,1020,782,894,374,356,439
Dayananda Sagar College of Engineering,CS Computers,SCG,2388,3085,3775,1309,972,1497
Dayananda Sagar College of Engineering,CS Computers,GMR,1843,1158,1961,589,421,535
Dayananda Sagar College of Engineering,CS Computers,SCR,0,4578,4646,1484,1533,1962
Dayananda Sagar College of Engineering,CS Computers,STG,0,0,2376,1213,1184,1930
Dayananda Sagar College of Engineering,EC Electronics,2AG,1601,1234,970,1066,842,765
Dayananda Sagar College of Engineering,EC Electronics,GM,1400,1189,582,626,597,609
Dayananda Sagar College of Engineering,EC Electronics,SCG,1780,2487,3652,2238,2159,2227
Dayananda Sagar College of Engineering,EC Electronics,GMR,1509,2411,1016,807,688,803
Dayananda Sagar College of Engineering,EC Electronics,SCR,1823,0,0,3993,4671,3219
Dayananda Sagar College of Engineering,EC Electronics,STG,0,0,0,0,2621,1407
Dayananda Sagar College of Engineering,EE Electrical,2AG,1786,2066,2638,447,638,736
Dayananda Sagar College of Engineering,EE Electrical,GM,1768,2039,1647,397,548,709
Dayananda Sagar College of Engineering,EE Electrical,SCG,1789,2202,3682,963,1348,885
Dayananda Sagar College of Engineering,EE Electrical,GMR,0,2098,1797,455,1162,0
Dayananda Sagar College of Engineering,EE Electrical,SCR,0,0,4394,0,0,0
Dayananda Sagar College of Engineering,EE Electrical,STG,0,0,3342,0,1697,1804
Dayananda Sagar College of Engineering,ME Mechanical,2AG,955,1386,3090,1171,2435,2719
Dayananda Sagar College of Engineering,ME Mechanical,GM,900,1284,1339,1046,1389,1861
Dayananda Sagar College of Engineering,ME Mechanical,SCG,1439,1338,4396,1144,11465,2868
Dayananda Sagar College of Engineering,ME Mechanical,GMR,994,1299,2623,1126,1724,0
Dayananda Sagar College of Engineering,ME Mechanical,SCR,0,3706,16279,2618,14922,0
Dayananda Sagar College of Engineering,ME Mechanical,STG,0,0,5639,0,6722,4337
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,2AG,0,0,0,0,0,0
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,GM,0,0,0,0,1585,2170
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,SCG,0,0,0,0,6156,2841
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,GMR,0,0,0,0,2746,2857
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,SCR,0,0,0,0,0,0
Sir M.Visveswaraya Institute of Technology,AI Artificial Intelligence,STG,0,0,0,0,0,0
Sir M.Visveswaraya Institute of Technology,CE Civil,2AG,1959,3183,12955,3812,0,4828
Sir M.Visveswaraya Institute of Technology,CE Civil,GM,978,2848,11137,2763,18231,3282
Sir M.Visveswaraya Institute of Technology,CE Civil,SCG,1945,4460,16888,3466,0,3446
Sir M.Visveswaraya Institute of Technology,CE Civil,GMR,0,0,11940,0,0,0
Sir M.Visveswaraya Institute of Technology,CE Civil,SCR,4628,0,16950,0,0,0
Sir M.Visveswaraya Institute of Technology,CE Civil,STG,0,0,0,0,0,0
Sir M.Visveswaraya Institute of Technology,CS Computers,2AG,2650,2351,2747,1719,2036,2162
Sir M.Visveswaraya Institute of Technology,CS Computers,GM,2277,1760,1990,1682,1363,1664
Sir M.Visveswaraya Institute of Technology,CS Computers,SCG,2577,2168,2370,2399,2491,3016
Sir M.Visveswaraya Institute of Technology,CS Computers,GMR,3745,3949,2577,2332,1544,2001
Sir M.Visveswaraya Institute of Technology,CS Computers,SCR,0,0,0,0,8465,5123
Sir M.Visveswaraya Institute of Technology,CS Computers,STG,0,0,0,0,4968,3106
Sir M.Visveswaraya Institute of Technology,EC Electronics,2AG,1668,4269,2100,2096,2058,1888
Sir M.Visveswaraya Institute of Technology,EC Electronics,GM,1375,2427,1152,1457,1912,1885
Sir M.Visveswaraya Institute of Technology,EC Electronics,SCG,3717,3521,1587,3304,2742,2848
Sir M.Visveswaraya Institute of Technology,EC Electronics,GMR,1894,2795,1400,1821,2475,2060
Sir M.Visveswaraya Institute of Technology,EC Electronics,SCR,0,0,0,0,9829,0
Sir M.Visveswaraya Institute of Technology,EC Electronics,STG,0,0,0,0,11113,2654
Sir M.Visveswaraya Institute of Technology,EE Electrical,2AG,3362,4768,9338,1901,5947,3088
Sir M.Visveswaraya Institute of Technology,EE Electrical,GM,2465,2711,6106,1645,3395,1993
Sir M.Visveswaraya Institute of Technology,EE Electrical,SCG,4095,2843,16890,2854,7667,2268
Sir M.Visveswaraya Institute of Technology,EE Electrical,GMR,0,0,12898,0,3769,0
Sir M.Visveswaraya Institute of Technology,EE Electrical,SCR,0,5688,8670,0,10428,0
Sir M.Visveswaraya Institute of Technology,EE Electrical,STG,0,0,0,0,6194,5187
Sir M.Visveswaraya Institute of Technology,ME Mechanical,2AG,2256,3507,0,3327,0,4162
Sir M.Visveswaraya Institute of Technology,ME Mechanical,GM,1987,2419,16169,2909,92601,2761
